房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,小区名称,所在区域,二级区域,单价(元/平米),总价(万元)
2室2厅1厨1卫,低楼层 (共31层),70.44㎡,暂无数据,暂无数据,暂无数据,南,框架结构,精装,两梯六户,有,70年,2019/9/15,商品房,2019/3/6,普通住宅,未满两年,非共有,有抵押,已上传房本照片,嘉美小镇,清城区,龙塘,6957,49
5室2厅1厨3卫,中楼层 (共28层),194.14㎡,暂无数据,暂无数据,板楼,南,混合结构,毛坯,两梯三户,有,70年,2019/9/20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,新亚时代城,清新区,清新,5667,110
3室2厅1厨2卫,高楼层 (共8层),115.69㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,一梯两户,暂无数据,70年,2019/9/28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 4万元 工商银行 业主自还,未上传房本照片,飞龙花园,清新区,清城,5083,58.8
2室2厅1厨1卫,中楼层 (共32层),78.8㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,毛坯,两梯四户,有,70年,2019/10/20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 农业银行,未上传房本照片,敏捷东城水岸,清城区,清城,7615,60
3室2厅1厨2卫,中楼层 (共32层),93㎡,暂无数据,暂无数据,暂无数据,北,钢混结构,毛坯,两梯五户,有,70年,2019/10/22,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,海港城,清城区,清城,8065,75
3室2厅1厨2卫,高楼层 (共28层),124.9㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯四户,有,70年,2019/10/23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,云山诗意花园一期,清城区,横荷,8647,108
3室2厅1厨2卫,高楼层 (共11层),151.43㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,一梯四户,有,70年,2019/10/24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,恒大金碧天下,清新区,清新,4293,65
3室2厅1厨2卫,高楼层 (共11层),151.71㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,一梯四户,暂无数据,70年,2019/10/24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,恒大金碧天下,清新区,清新,4153,63
3室2厅1厨1卫,低楼层 (共33层),97.86㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯五户,有,70年,2019/10/25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,恒大金碧天下,清新区,清新,5171,50.6
3室2厅1厨3卫,低楼层 (共3层),148.65㎡,,暂无数据,,南,未知结构,毛坯,,,70年,2019/10/25,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,恒大金碧天下福山区,清新区,清新,5920,88
4室2厅1厨2卫,中楼层 (共32层),134.66㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,两梯六户,有,70年,2019/10/25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 28万元,未上传房本照片,恒大金碧天下,清新区,清新,4865,65.5
3室2厅1厨2卫,中楼层 (共33层),108.08㎡,暂无数据,暂无数据,塔楼,北,钢混结构,精装,两梯六户,有,70年,2019/10/25,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,恒大金碧天下,清新区,清新,4886,52.8
3室2厅1厨1卫,中楼层 (共11层),107.57㎡,暂无数据,暂无数据,塔楼,东,钢混结构,精装,一梯四户,有,70年,2019/10/26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,恒大金碧天下,清新区,清新,4463,48
3室2厅1厨1卫,高楼层 (共7层),83.1㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,一梯两户,暂无数据,40年,2019/10/25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,东二街35号,清新区,清新,4068,33.8
3室2厅1厨2卫,中楼层 (共32层),119.63㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯八户,有,70年,2019/10/27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,万豪水晶湾二期,清城区,横荷,9446,113
5室2厅1厨4卫,低楼层 (共3层),333.32㎡,,暂无数据,,南,钢混结构,毛坯,,,70年,2019/10/27,商品房,暂无数据,别墅,暂无数据,非共有,有抵押,未上传房本照片,恒大金碧天下桃园区,清新区,清新,7501,250
3室2厅1厨2卫,中楼层 (共8层),115㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,简装,一梯四户,暂无数据,40年,2019/10/27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,泰州大厦,清城区,城西商贸区,5374,61.8
4室2厅1厨2卫,中楼层 (共8层),126㎡,暂无数据,暂无数据,暂无数据,西南,未知结构,简装,一梯四户,暂无数据,40年,2019/10/27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,泰州大厦,清城区,城西商贸区,5302,66.8
3室2厅1厨2卫,低楼层 (共7层),131㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,一梯两户,无,70年,2019/10/28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林宏景新城,清新区,清城,6107,80
3室2厅1厨2卫,高楼层 (共24层),111.11㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯七户,有,70年,2019/10/28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,万豪水晶湾二期,清城区,横荷,8821,98
2室2厅1厨1卫,中楼层 (共25层),75㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,70年,2019/10/29,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,万豪水晶湾一期,清城区,横荷,9067,68
3室1厅1厨1卫,高楼层 (共28层),79.6㎡,暂无数据,暂无数据,塔楼,北,钢混结构,简装,两梯八户,有,70年,2019/10/29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,北部万科城,清城区,龙塘,6910,55
2室2厅1厨1卫,中楼层 (共19层),71.13㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,三梯十二户,有,70年,2019/10/29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林湖美仑山语,清城区,清城,10685,76
2室2厅1厨1卫,中楼层 (共19层),71.13㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,三梯十二户,有,70年,2019/10/29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林湖美仑山语,清城区,清城,10826,77
3室2厅1厨2卫,中楼层 (共32层),101.93㎡,暂无数据,暂无数据,塔楼,西,钢混结构,精装,两梯六户,有,70年,2019/10/30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,恒大金碧天下,清新区,清新,5181,52.8
3室2厅1厨2卫,中楼层 (共32层),101.93㎡,暂无数据,暂无数据,塔楼,西,钢混结构,精装,两梯六户,有,70年,2019/10/30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,恒大金碧天下,清新区,清新,5396,55
3室2厅1厨2卫,中楼层 (共18层),138.41㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,一梯两户,暂无数据,70年,2019/10/31,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,御景东方花园,清城区,清城,6864,95
4室3厅1厨2卫,中楼层 (共8层),149.86㎡,暂无数据,138.74㎡,暂无数据,南,未知结构,简装,一梯五户,无,70年,2019/10/15,商品房,2013/6/21,普通住宅,满五年,非共有,无抵押,已上传房本照片,颐园新村,清城区,清城,4004,60
3室2厅1厨2卫,低楼层 (共31层),143.85㎡,暂无数据,121.9㎡,塔楼,北,钢混结构,简装,两梯五户,有,70年,2018/12/16,商品房,2013/12/13,普通住宅,满五年,共有,无抵押,已上传房本照片,凯旋花园,清城区,新城,7647,110
3室2厅1厨1卫,中楼层 (共15层),89.64㎡,暂无数据,75.47㎡,塔楼,南,钢混结构,精装,一梯三户,有,70年,2019/4/11,商品房,2014/3/27,普通住宅,满五年,共有,无抵押,已上传房本照片,新城七号区46号荣信楼,清城区,新城,8367,75
3室2厅1厨2卫,中楼层 (共19层),131.89㎡,暂无数据,110.77㎡,暂无数据,南,钢混结构,精装,两梯四户,有,70年,2019/6/2,商品房,2015/10/15,普通住宅,满两年,非共有,有抵押 30万元 客户偿还,已上传房本照片,华美怡景豪庭,清城区,横荷,6824,90
4室2厅1厨2卫,中楼层 (共8层),101.19㎡,暂无数据,101.19㎡,暂无数据,南,未知结构,简装,一梯四户,暂无数据,70年,2019/6/15,商品房,1993/10/5,普通住宅,满五年,非共有,无抵押,已上传房本照片,商业街左一街,清新区,清新,4428,44.8
3室2厅1厨1卫,高楼层 (共8层),88.69㎡,暂无数据,79.35㎡,平房,南 北,钢混结构,简装,一梯四户,无,70年,2019/7/2,商品房,2011/3/24,普通住宅,满五年,共有,有抵押 12万元 邮政银行 客户偿还,已上传房本照片,华逸花园,清新区,清新,6067,53.8
2室2厅1厨1卫,中楼层 (共16层),65㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,精装,三梯十二户,有,70年,2019/10/28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 10万元 客户偿还,未上传房本照片,美林湖水镇K区,清城区,清城,8770,57
3室1厅1厨1卫,高楼层 (共7层),73㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,一梯三户,暂无数据,70年,2019/10/1,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,滨江路70号,清新区,清新,4795,35
2室2厅1厨1卫,低楼层 (共19层),78㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,三梯十二户,有,70年,2019/10/1,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林湖汇泉湾,清城区,石角,9616,75
2室2厅1厨1卫,低楼层 (共18层),81.97㎡,暂无数据,暂无数据,暂无数据,西北,未知结构,简装,三梯十二户,有,70年,2019/10/3,商品房,2015/10/8,普通住宅,未满两年,共有,有抵押,未上传房本照片,美林湖怡景湾,清城区,清城,8174,67
2室1厅1厨1卫,高楼层 (共31层),77.31㎡,暂无数据,暂无数据,平房,西北,未知结构,简装,两梯六户,有,70年,2019/10/4,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,嘉美小镇,清城区,龙塘,7373,57
3室2厅1厨1卫,中楼层 (共34层),81㎡,暂无数据,暂无数据,平房,东北,钢混结构,精装,两梯六户,有,70年,2019/10/4,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,时代倾城西区,清城区,清城,8371,67.8
3室2厅1厨3卫,低楼层 (共9层),123.6㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,一梯四户,暂无数据,70年,2019/10/5,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,颐景园,清新区,清城,5098,63
4室2厅1厨2卫,高楼层 (共30层),185㎡,暂无数据,暂无数据,平房,南,钢混结构,毛坯,两梯三户,有,70年,2019/10/5,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,清华,清城区,清城,11190,207
4室2厅1厨3卫,中楼层 (共26层),139㎡,暂无数据,暂无数据,暂无数据,北,未知结构,毛坯,两梯四户,有,70年,2019/10/6,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,枫林水岸豪庭,清城区,清城,6835,95
3室2厅2厨1卫,低楼层 (共32层),120㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,一梯四户,暂无数据,70年,2019/10/6,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,联湖花园,清城区,新城,5000,60
6室2厅1厨3卫,高楼层 (共4层),182.18㎡,暂无数据,暂无数据,暂无数据,东南,钢混结构,其他,一梯两户,暂无数据,70年,2019/10/6,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,海伦春天,清城区,横荷,16468,300
5室2厅1厨4卫,中楼层 (共31层),244㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,毛坯,三梯三户,有,70年,2019/10/8,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,天湖郦都,清城区,樵顺生活圈,7787,190
3室2厅1厨2卫,高楼层 (共31层),118.72㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯四户,有,70年,2019/10/8,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,云山诗意花园一期,清城区,横荷,7581,90
3室2厅1厨2卫,低楼层 (共26层),88㎡,暂无数据,暂无数据,暂无数据,北,未知结构,精装,两梯六户,有,70年,2019/10/9,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,广盈美苑,清城区,清城,8500,74.8
3室2厅1厨2卫,中楼层 (共29层),112㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,毛坯,二十梯五户,有,70年,2019/10/9,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,万豪水晶湾二期,清城区,横荷,8750,98
3室2厅1厨2卫,低楼层 (共13层),108.43㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,两梯四户,有,70年,2019/10/10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美湖花园,清城区,石角,8116,88
3室1厅1厨1卫,中楼层 (共8层),79.86㎡,暂无数据,暂无数据,暂无数据,西北,未知结构,简装,一梯两户,暂无数据,70年,2019/10/11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,滨江路80号,清新区,清新,4383,35
3室2厅1厨2卫,高楼层 (共30层),87.2㎡,暂无数据,暂无数据,暂无数据,西北,未知结构,毛坯,一梯六户,暂无数据,70年,2019/10/12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,骏豪花园,清新区,清新,7455,65
2室2厅1厨1卫,高楼层 (共19层),80.1㎡,暂无数据,暂无数据,暂无数据,北,未知结构,精装,三梯十二户,有,70年,2019/10/12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林湖美仑山语,清城区,清城,12235,98
3室2厅1厨1卫,中楼层 (共31层),104.8㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯三户,有,70年,2019/10/13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 17万元 业主自还,未上传房本照片,万基金海湾豪庭B区,清城区,新城,8875,93
2室1厅1厨1卫,中楼层 (共19层),71㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,三梯十二户,有,70年,2019/10/14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林湖美仑山语,清城区,清城,10564,75
2室1厅1厨1卫,中楼层 (共19层),71㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,三梯十二户,有,70年,2019/10/14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,美林湖美仑山语,清城区,清城,10564,75
4室2厅1厨2卫,中楼层 (共31层),130.73㎡,暂无数据,暂无数据,塔楼,北,钢混结构,毛坯,两梯六户,有,70年,2019/10/14,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,云山诗意花园一期,清城区,横荷,8032,105
2室1厅1厨1卫,高楼层 (共27层),80㎡,暂无数据,暂无数据,塔楼,东,钢混结构,毛坯,两梯六户,有,70年,2019/10/14,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,敏捷东城水岸,清城区,清城,8750,70
2室2厅1厨1卫,高楼层 (共19层),76㎡,暂无数据,暂无数据,暂无数据,北,未知结构,精装,一梯十二户,暂无数据,70年,2019/10/14,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 按揭银行 业主自还,未上传房本照片,美林湖美仑山语,清城区,清城,12895,98
3室2厅1厨2卫,低楼层 (共27层),139.83㎡,暂无数据,暂无数据,暂无数据,西北,未知结构,简装,两梯五户,有,70年,2019/10/15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,阳光嘉园,清城区,清城,7152,100
3室2厅1厨2卫,高楼层 (共26层),120㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯六户,有,70年,2019/10/16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,胜利雅苑,清城区,清城,7917,95
2室2厅1厨1卫,高楼层 (共27层),80㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,毛坯,两梯六户,有,70年,2019/10/18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,敏捷东城水岸,清城区,清城,8250,66
